"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"338","Brendan Gallagher","MTL","R","215","2849.0166666667","13.251240310078","1.33","0.88","0.48","0.4","2.21","72.41","13.44","9.87","1.22","24.49","18.03","13.67","6.74","1.12","1.87","1.31","0.65","0.65","0","0","0.99","1.35","2.4","5.16","6.3","1.98","1.54","1.81","0.97"
"758","Brady Tkachuk","OTT","L","131","1834.9","14.006870229008","1.01","0.92","0.69","0.23","1.93","69.41","11.41","8.88","1.18","18.34","14.94","11.9","6.7","0.78","1.8","2.58","1.11","1.01","0.1","0","1.31","1.83","1.57","13.18","7.36","1.93","4.58","4.48","1.65"
"32","Rick Nash","BOS, NYR","L, R","71","873.8","12.307042253521","1.03","0.69","0.34","0.34","1.72","80.65","11.95","8.62","0.98","19.23","16","11.6","6.18","0.89","0.89","1.51","0.76","0.76","0","0","1.17","1.58","2.68","2.75","3.02","2.2","0.07","0.14","2.29"
"533","William Carrier","VGK","L","152","1426.55","9.3851973684211","0.63","0.59","0.5","0.08","1.22","61.70","9.3","6.79","0.88","15.27","12.45","9.38","5.97","0.25","1.18","2.36","1.05","0.97","0.08","0","1.43","1.01","2.69","24.1","10.51","1.3","0.29","0.13","2.94"
"633","Timo Meier","S.J","R","218","2954.6333333333","13.553363914373","1.08","1.1","0.63","0.47","2.17","74.83","10.15","10.60","0.98","18.01","14.24","11.76","5.44","0.67","1.26","1.75","0.79","0.75","0.04","0","1.2","1.97","2.23","6.5","6.27","2.19","1.54","1.75","0.95"
"322","Zach Hyman","TOR","C, L","195","2801.9166666667","14.368803418803","0.79","1.11","0.66","0.45","1.91","55.63","7.05","11.25","0.84","11.88","9.7","8.93","5.4","0.51","0.84","1.8","0.75","0.69","0.04","0.02","0.77","1.16","1.26","5.08","8.84","1.43","1.35","1.46","1.03"
"119","Patric Hornqvist","PIT","R","180","2290.6333333333","12.725740740741","0.89","0.79","0.45","0.34","1.68","65.31","10.45","8.52","0.99","15.87","13.49","10.24","5.34","0.55","1.15","2.07","0.79","0.71","0.03","0.05","0.86","0.71","1.36","9.06","9.12","3.27","0.71","0.65","1.36"
"279","Anders Lee","NYI","C, L","223","3116.6666666667","13.976083707025","0.98","0.79","0.46","0.33","1.77","61.74","7.74","12.69","0.82","12.67","10.61","9.36","5.1","0.35","0.77","1.64","0.77","0.75","0.02","0","0.5","1.69","1.12","5.41","4.35","2.41","1.93","2.06","0.93"
"568","Tomas Nosek","VGK","L","192","1881.7333333333","9.8006944444444","0.54","0.64","0.48","0.16","1.18","58.73","8.13","6.67","0.84","13.77","11.03","9.41","5.1","0.41","1.08","1.28","0.64","0.64","0","0","0.77","1.15","2.17","6.22","9.69","1.53","8.42","6.73","1.77"
"760","Andrei Svechnikov","CAR","R","141","1757.2166666667","12.462529550827","0.89","1.02","0.34","0.68","1.91","64.37","8.81","10.08","0.94","14.55","11.85","9.36","5.09","0.82","1.33","2.25","1.13","1.13","0","0","0.79","3.45","1.91","7.07","7","1.67","0.03","0.14","0.68"
"649","Austin Wagner","L.A","L","117","1181","10.094017094017","0.81","0.71","0.41","0.3","1.52","78.95","8.89","9.14","0.96","14.89","12.55","9.6","5.03","0.61","1.07","1.47","0.66","0.61","0.05","0","0.76","1.83","1.17","13.56","5.89","1.12","0.2","0.51","1.45"
"705","Max Jones","ANA","L","79","959.95","12.151265822785","0.56","0.31","0.25","0.06","0.88","56.00","8","7.03","0.79","14.13","11","9.25","5","0.13","0.56","2","1","1","0","0","1","2.13","1.63","5.81","6","1.19","0.63","0.75","2.84"
"380","Brandon Saad","CHI","L","210","2785.3166666667","13.263412698413","0.9","0.9","0.58","0.32","1.81","70.00","9.13","9.91","0.91","14.95","12.13","10.3","4.93","0.58","0.71","0.73","0.37","0.37","0","0","0.6","1.14","1.62","1.94","3.49","1.36","1.62","2.22","0.91"
"602","Warren Foegele","CAR","L","138","1593.2833333333","11.545531400966","0.75","0.83","0.49","0.34","1.58","67.74","7.87","9.57","0.9","13.63","10.92","8.81","4.9","0.45","1.39","1.05","0.53","0.53","0","0","1.17","1.81","2.37","6.89","7.34","1.09","0.9","1.05","1.74"
"628","Connor McDavid","EDM","C","215","3613.55","16.807209302326","1.18","1.74","1.06","0.68","2.92","83.41","7.99","14.76","0.86","13.15","10.58","9.66","4.82","0.55","0.83","0.8","0.4","0.4","0","0","1.1","2.82","3.8","1.34","3.75","1.25","16.39","20.16","0.74"
"244","John Tavares","NYI, TOR","C","218","3250.6166666667","14.911085626911","1.14","1.14","0.72","0.42","2.29","68.13","8.73","13.11","0.9","15.49","12.11","10.65","4.78","0.61","1.05","1.11","0.54","0.54","0","0","0.76","2.77","2.14","1.86","4.15","1.77","30.09","26.71","0.98"
"247","Evander Kane","BUF, S.J","L","207","3066.55","14.814251207729","0.88","0.9","0.49","0.41","1.78","65.00","10.78","8.17","0.93","17.59","14.01","9.67","4.77","0.63","1.45","3.29","1.35","1.23","0.08","0.04","0.74","2.05","2.17","8.35","5.77","1.31","3.76","4.42","0.90"
"692","Auston Matthews","TOR","C","191","2945.7","15.422513089005","1.55","1.14","0.77","0.37","2.69","75.86","9.9","15.64","0.95","17.58","13.99","12.36","4.77","0.55","1.04","0.49","0.24","0.24","0","0","0.55","2.87","3.4","1.51","4.75","3.08","24.01","20.14","1.11"
"321","Jeff Skinner","BUF, CAR","C, L","214","3023.75","14.129672897196","1.11","0.75","0.46","0.3","1.87","68.61","10.54","10.55","0.93","17.66","14.07","11.07","4.72","0.69","1.19","0.91","0.46","0.46","0","0","1.21","2.04","3.17","1.61","3.1","1.09","2.54","3.12","0.89"
"603","Brayden Point","T.B","C","218","3119.1666666667","14.308103975535","1.04","1.58","1.1","0.48","2.62","70.47","7","14.84","0.83","12.35","9.58","9.5","4.67","0.52","0.85","0.81","0.35","0.31","0.04","0","0.73","0.94","1.73","1.35","4.37","1.94","19.95","20.47","0.95"
"163","James van Riemsdyk","PHI, TOR","L","207","2567.35","12.402657004831","1.15","0.86","0.47","0.4","2.01","73.50","8.79","13.03","0.84","15.47","12.01","9.51","4.67","0.51","1.03","1.03","0.51","0.51","0","0","0.23","1.31","1.52","2.08","4.35","1.17","0.28","0.42","0.93"
"374","Ty Rattie","EDM","R","64","708.25","11.06640625","0.68","0.85","0.68","0.17","1.52","60.00","7.96","8.51","0.82","12.62","10.34","8.73","4.66","0.42","1.52","0.51","0.25","0.25","0","0","0.85","1.27","1.95","5.59","6.44","0.93","0.08","0.17","2.82"
"437","Tomas Hertl","S.J","C","204","2712.2833333333","13.295506535948","0.8","1.13","0.73","0.4","1.92","66.41","7.06","11.29","0.84","12.81","9.69","9.14","4.65","0.38","1.04","0.91","0.42","0.4","0.02","0","0.62","1.86","1.99","3.34","5.24","2.77","25.68","23.32","1.16"
"464","Brock McGinn","CAR","L","221","2568.8833333333","11.623906485671","0.49","0.77","0.4","0.37","1.26","64.29","7.47","6.56","0.82","15.02","11.26","8.99","4.62","0.47","0.89","0.91","0.42","0.4","0.02","0","1.1","1.54","2.08","7.71","5.58","1.28","0.96","1.45","0.93"
"532","Artturi Lehkonen","MTL","L","210","2597.2666666667","12.367936507937","0.69","0.92","0.67","0.25","1.62","66.67","8.99","7.71","0.82","15.78","11.87","9.45","4.62","0.55","1.11","1.34","0.65","0.65","0","0","0.69","1.2","1.43","6.28","7.69","1.62","0.49","0.55","1.08"
"270","Craig Smith","NSH","C, R","214","2543.15","11.883878504673","1.09","0.99","0.57","0.42","2.08","62.86","10.97","9.89","0.94","17.1","14.6","9.6","4.58","0.8","1.25","1.18","0.59","0.59","0","0","0.71","1.75","2.81","4.2","5.43","1.89","1.51","1.93","1.03"
"227","Cam Atkinson","CBJ","R","189","2630.7833333333","13.919488536155","1.09","0.96","0.55","0.41","2.05","67.16","10.97","9.98","0.99","18.13","14.89","10.31","4.58","0.5","1.32","0.46","0.23","0.23","0","0","0.41","1.69","1.82","1.41","1.35","1.41","1.39","2.49","0.82"
"611","Oskar Lindblom","PHI","L","134","1625.75","12.132462686567","0.85","0.85","0.7","0.15","1.7","64.79","8.05","10.55","0.77","13.14","10.37","7.9","4.58","0.26","0.81","0.89","0.44","0.44","0","0","0.59","1.4","1.33","4.35","5.31","2.8","0.48","0.74","1.45"
"363","Andrew Shaw","CHI, MTL","C, R","140","1767.6833333333","12.62630952381","0.75","1.22","0.71","0.51","1.97","67.44","7.4","10.09","0.76","12.36","9.88","8.25","4.55","0.31","1.09","3.8","1.49","1.36","0.07","0.07","0.88","1.93","1.39","9.06","8.69","2.1","9.54","10.32","1.63"
"67","Joe Pavelski","DAL, S.J","C","215","3018.1166666667","14.037751937984","0.78","0.87","0.48","0.4","1.65","66.40","7.24","10.71","0.79","12.19","10.02","8.35","4.55","0.46","0.93","0.95","0.48","0.48","0","0","1.01","1.87","1.89","3.7","2.88","2.98","18.55","16.24","1.06"
"344","Micheal Ferland","CAR, CGY, VAN","L","162","1950.4333333333","12.039711934156","0.77","1.2","0.98","0.22","1.97","65.31","7.48","10.29","0.79","12.8","10.49","8.12","4.55","0.34","1.23","1.88","0.68","0.52","0.15","0","0.65","2.03","2.06","11.69","4.12","1.48","1.23","2.15","1.12"
"164","Paul Byron","MTL","L","158","1907.1333333333","12.070464135021","0.88","0.79","0.5","0.28","1.67","63.86","5.63","15.64","0.67","9.12","7.71","7.05","4.5","0.28","0.69","0.88","0.35","0.28","0.06","0","0.88","1.89","1.51","8.24","4.69","2.36","1.07","1.67","1.23"
"742","Filip Chytil","NYR","C","134","1668.4666666667","12.451243781095","0.68","0.58","0.47","0.11","1.26","64.81","8.24","8.30","0.79","13.52","11.04","8.16","4.5","0.72","0.72","0.58","0.29","0.29","0","0","0.54","2.41","1.91","1.33","6.44","1.69","8.31","13.45","1.37"
"324","Taylor Hall","ARI, N.J","L","167","2454.2666666667","14.69620758483","0.86","1.44","1","0.44","2.3","74.02","9.93","8.62","0.88","16.84","13.4","9.85","4.47","0.68","1.03","1.22","0.61","0.61","0","0","0.78","2.66","3.23","2.88","6.26","2.13","2.05","2.4","1.13"
"494","Dominik Kubalik","CHI","L","58","684.73333333333","11.805747126437","1.84","0.88","0.7","0.18","2.72","73.81","9.64","19.09","0.9","16.56","13.06","10.34","4.47","0.61","0.79","1.05","0.53","0.53","0","0","0.35","1.58","1.49","5.7","3.33","1.31","0.35","0.88","2.50"
"506","Jake Guentzel","PIT","C, L","203","3043.7","14.993596059113","1.14","1.22","0.73","0.49","2.37","75.95","8.24","13.88","0.81","13.68","10.9","9.19","4.46","0.34","1.01","1.22","0.59","0.59","0","0","0.73","1.12","1.83","5.42","7.49","1.99","1.32","1.44","0.94"
"53","Zach Parise","MIN","L","175","2305.3","13.173142857143","0.78","0.94","0.39","0.55","1.72","66.67","8.33","9.38","0.78","12.75","10.75","7.89","4.42","0.47","1.04","0.62","0.31","0.31","0","0","1.02","1.2","1.04","2.29","4.09","2.94","0.73","0.94","1.14"
"96","Paul Stastny","STL, VGK, WPG","C","193","2622.1166666667","13.58609671848","0.73","1.24","0.78","0.46","1.97","69.92","6.41","11.43","0.8","9.95","8.74","7.57","4.42","0.32","0.82","1.19","0.59","0.59","0","0","0.71","0.78","2.31","2.86","2.75","1.4","29.75","25.72","1.23"
"620","Andrew Mangiapane","CGY","L","113","1248.0333333333","11.044542772861","0.96","0.77","0.53","0.24","1.73","65.45","7.02","13.70","0.81","12.88","10.05","9.28","4.42","0.38","0.67","0.96","0.48","0.48","0","0","0.87","1.97","2.55","5.24","5.58","2.02","0.72","1.3","1.72"
"140","Michael Grabner","ARI, N.J, NYR","L, R","166","1885.4666666667","11.358232931727","0.83","0.45","0.29","0.16","1.27","63.49","7.16","11.56","0.75","11.74","9.51","7.61","4.42","0.8","0.92","0.64","0.32","0.32","0","0","0.57","1.56","2.39","3.21","1.21","1.43","0.25","0.22","1.70"
"563","Daniel Carr","MTL, NSH, VGK","L","55","585.53333333333","10.646060606061","0.61","0.82","0.31","0.51","1.43","63.64","6.87","8.96","0.68","13.22","10.25","7.58","4.41","0.1","0.51","1.23","0.61","0.61","0","0","0.92","1.43","2.36","4.92","9.63","2.05","0.31","1.43","1.81"
"572","Sam Bennett","CGY","C","196","2279.2333333333","11.628741496599","0.71","0.74","0.53","0.21","1.45","68.75","7.84","9.06","0.81","14.48","11.45","9.35","4.4","0.55","1.11","2.79","1.32","1.26","0.05","0","0.95","1.9","2.29","8.69","4.79","1.76","5","4.48","1.39"
"733","Nico Hischier","N.J","C","199","2623.1166666667","13.18149078727","0.89","1.21","0.69","0.53","2.1","66.19","7.39","12.07","0.75","11.87","9.84","8.01","4.39","0.32","0.75","0.73","0.37","0.37","0","0","1.24","1.33","2.31","3.11","5.4","2.36","24.04","28.43","1.05"
"690","Matthew Tkachuk","CGY","L","208","2842.4666666667","13.665705128205","0.84","1.12","0.68","0.44","1.96","73.23","8.06","10.47","0.76","13.76","11.25","8.13","4.39","0.36","1.08","1.79","0.72","0.63","0.06","0.02","1.54","2.91","2.07","5.99","4.71","0.89","0.17","0.3","0.77"
"771","Jack Hughes","N.J","C","51","588.13333333333","11.532026143791","0.2","0.92","0.71","0.2","1.12","68.75","7.45","2.74","0.72","11.53","9.49","8.06","4.39","0.71","0.92","0.61","0.31","0.31","0","0","1.12","2.65","2.86","1.12","5.61","1.53","12.45","22.85","3.60"
"330","Nino Niederreiter","CAR, MIN","R","203","2608.2","12.848275862069","0.78","0.9","0.46","0.44","1.68","62.39","7.71","10.15","0.77","13.37","10.61","8.33","4.35","0.35","0.92","1.75","0.87","0.87","0","0","0.85","1.84","2.39","4.26","6.21","1.27","1.01","0.81","1.28"
"578","Nick Ritchie","ANA","L","175","2144.3833333333","12.253619047619","0.5","1.06","0.56","0.5","1.57","62.22","6.69","7.53","0.76","12.51","10.49","7.81","4.34","0.48","0.9","3.19","1.37","1.32","0","0.06","0.5","1.76","0.95","11.25","4.95","1.79","0.25","0.53","0.90"
"72","Alex Ovechkin","WSH","L","221","3292.85","14.899773755656","1.42","0.91","0.56","0.35","2.33","70.33","10.68","13.31","0.91","20.13","14.89","11.04","4.34","0.66","1.31","1.13","0.56","0.56","0","0","0.66","2.55","1.29","8.62","2.33","1.28","0.07","0.13","0.66"
"257","Chris Kreider","NYR","C, L","195","2569.9","13.178974358974","0.96","1.14","0.54","0.61","2.1","66.18","8.26","11.58","0.72","13.61","11.14","8.08","4.32","0.7","0.63","1.87","0.86","0.82","0.05","0","0.63","2.52","1.49","8.01","3.25","2.36","2.08","2.8","0.99"
"769","Kirby Dach","CHI","C","54","653.08333333333","12.094135802469","0.73","0.73","0.18","0.55","1.47","57.14","7.17","10.26","0.69","11.3","9.55","6.71","4.32","0.37","0.46","0.92","0.46","0.46","0","0","0.83","1.19","2.76","2.3","13.69","1.75","4.59","8.64","3.19"
"378","Dmitrij Jaskin","STL, WSH","R","113","1264.1166666667","11.186873156342","0.38","0.76","0.28","0.47","1.14","52.17","7.97","4.76","0.74","14.19","11.39","9.07","4.32","0.43","1.09","0.85","0.38","0.38","0","0","0.66","1.04","2.18","13.72","7.97","2.85","0.09","0.66","0.59"
"97","Sidney Crosby","PIT","C","191","2978.8666666667","15.596160558464","0.73","1.65","1.15","0.5","2.38","76.62","7.59","9.55","0.79","12.21","10.23","8.18","4.31","0.36","0.87","1.39","0.54","0.5","0.02","0.02","0.58","2.54","1.99","3.48","3.2","1.61","35.05","30.07","1.08"
"312","Nick Bjugstad","FLA, PIT","C","156","2021.35","12.957371794872","0.89","0.92","0.47","0.45","1.81","67.03","9.85","9.04","0.89","15.49","13","9.41","4.3","0.47","1.28","1.6","0.8","0.8","0","0","0.83","2.32","2.43","6.56","4.9","1.45","9.91","10.89","1.41"
"137","Jordan Staal","CAR","C","188","2568.8666666667","13.664184397163","0.61","0.86","0.42","0.44","1.47","62.38","7.05","8.61","0.76","11.54","9.23","8.15","4.3","0.35","0.86","1.17","0.58","0.58","0","0","0.49","1.94","2.38","8.99","6.19","1.33","32.19","25.65","1.30"
"666","Anthony Cirelli","T.B","C","158","1909.55","12.085759493671","0.82","1.16","0.79","0.38","1.98","61.76","6.41","12.75","0.67","11.06","8.7","7.64","4.3","0.38","0.85","1.38","0.47","0.38","0.06","0.03","0.88","0.97","2.42","5.53","6.41","1.82","22.53","22.91","1.56"
"367","Blake Coleman","N.J","C","214","2705.1166666667","12.640732087227","0.87","0.67","0.4","0.27","1.53","62.73","9.91","8.72","0.84","15.86","12.95","9.14","4.28","0.6","0.78","2.37","1.15","1.13","0.02","0","0.98","1.4","2.33","12.31","5.37","2.26","6.54","7.61","1.03"
"332","Bryan Rust","PIT","R","185","2525.5166666667","13.651441441441","0.81","1.05","0.59","0.45","1.85","63.41","7.34","11.00","0.79","12.62","10.41","8.77","4.25","0.43","0.9","1.05","0.52","0.52","0","0","0.97","1.92","1.28","6.01","6.87","2.28","0.19","0.67","0.53"
"474","Josh Anderson","CBJ","R","171","2388.0833333333","13.965399610136","0.9","0.6","0.3","0.3","1.51","54.05","10.25","8.82","0.85","17.06","13.52","10","4.25","0.6","0.7","1.68","0.8","0.78","0.03","0","0.9","1.13","1.81","9.35","4.85","1.53","0.83","1.41","0.93"
"512","Miles Wood","N.J","L","198","2334.8","11.791919191919","0.82","0.9","0.54","0.36","1.72","76.14","10.72","7.67","0.78","16.96","14.21","8.35","4.24","0.72","0.72","3.49","1.46","1.39","0.05","0.03","1.49","2.03","1.41","6.55","8.48","1.82","0.03","0.03","1.28"
"327","Tyler Seguin","DAL","C","224","3367.4833333333","15.033407738095","0.73","1.07","0.73","0.34","1.8","67.79","9.55","7.65","0.82","16.23","12.45","9.5","4.24","0.41","1.5","1.02","0.48","0.46","0.02","0","0.64","1.71","1.66","3.76","1.27","1.55","25.62","19.87","1.00"
"601","Christian Dvorak","ARI","C, L","161","2036.3333333333","12.648033126294","0.68","0.97","0.68","0.29","1.65","63.64","6.54","10.36","0.73","10.7","8.75","7.57","4.24","0.27","0.94","0.83","0.41","0.41","0","0","0.32","1.41","1.15","4.01","5.98","2.33","27.02","24.1","1.56"
"564","Garnet Hathaway","CGY, WSH","R","191","1787.1","9.3565445026178","0.57","0.74","0.4","0.34","1.31","58.21","6.45","8.85","0.74","11.68","9.13","7.79","4.23","0.57","0.81","4.63","1.48","1.14","0.2","0.13","1.75","1.88","1.54","16.72","8.36","2.99","0.44","0.91","1.09"
"209","Tyler Ennis","MIN, OTT, TOR","C, L, R","184","1959.8666666667","10.651449275362","0.77","0.89","0.55","0.34","1.65","73.97","8.14","9.40","0.78","13.68","11.57","7.96","4.22","0.37","1.19","0.61","0.31","0.31","0","0","0.92","1.13","2.05","5.05","6.64","1.99","0.28","0.52","1.06"
"457","Jordan Martinook","ARI, CAR","L","200","2346","11.73","0.49","0.59","0.38","0.2","1.07","61.76","6.78","7.17","0.76","13.2","10.23","8.01","4.22","0.46","1.2","1.59","0.79","0.79","0","0","0.74","1.28","2.23","9.34","7.11","1.97","4.76","5.32","1.21"
"208","Jordan Eberle","NYI","C, R","208","2802.6166666667","13.474118589744","0.83","1.11","0.64","0.47","1.95","67.91","7.28","11.47","0.72","12.14","9.93","8.24","4.2","0.43","0.75","0.66","0.3","0.28","0.02","0","0.73","1.84","1.91","2.23","5.78","2.06","0.43","0.77","0.76"
"542","Sean Monahan","CGY","C","213","2994.3","14.057746478873","0.94","1.26","0.8","0.46","2.2","71.43","7.69","12.24","0.8","13.1","10.2","9.16","4.19","0.42","0.62","0.74","0.32","0.3","0.02","0","0.6","2.06","2.81","2.46","1.76","1.12","24.17","23.3","1.02"
"451","Mackenzie MacEachern","STL","L","75","629.71666666667","8.3962222222222","0.95","0.48","0.19","0.29","1.43","68.18","8.67","10.99","0.79","12.1","10.58","8.38","4.19","0.1","1.24","1.72","0.48","0.38","0","0.1","0.76","1.05","1.72","11.81","9.43","1.43","0.1","0.29","2.38"
"608","Viktor Arvidsson","NSH","L, R","183","2414.3","13.192896174863","1.34","0.89","0.4","0.5","2.24","72.00","10.56","12.71","0.84","18.69","14.89","9.37","4.18","0.75","1.02","1.24","0.62","0.62","0","0","0.94","1.64","1.71","1.62","5.91","1.54","0.5","0.92","0.87"
"652","Anthony Beauvillier","NYI","C, L","211","2727.75","12.927725118483","0.99","0.68","0.44","0.24","1.67","60.32","7.15","13.85","0.71","11.79","9.35","8.56","4.18","0.57","0.42","0.57","0.29","0.29","0","0","0.55","1.74","1.72","4.99","6.53","1.98","2.09","2.35","1.03"
"309","Brock Nelson","NYI","C","223","2932.6166666667","13.150747384155","0.88","0.94","0.45","0.49","1.82","73.55","6.98","12.61","0.7","11.64","8.98","8.49","4.15","0.35","0.51","1.43","0.7","0.7","0","0","0.72","2.15","1.82","2.68","5.11","2.46","23.65","24.86","1.00"
"455","Jimmy Vesey","BUF, NYR","L","216","2684","12.425925925926","0.78","0.72","0.49","0.22","1.5","62.62","6.77","11.55","0.74","12.18","9.39","7.69","4.14","0.42","0.83","0.56","0.25","0.22","0.02","0","0.45","2.08","2.24","4.29","3.73","1.54","0.4","0.78","0.76"
"411","Rickard Rakell","ANA","C, L, R","200","2956.8833333333","14.784416666667","0.85","0.95","0.51","0.45","1.81","66.92","8.4","10.14","0.77","14.83","11.61","9.03","4.12","0.45","0.89","0.55","0.16","0.12","0.02","0.02","0.59","2.58","1.48","4.79","5.32","1.68","1.72","2.27","0.88"
"241","Kyle Clifford","L.A, TOR","L","182","1913.4166666667","10.513278388278","0.66","0.72","0.44","0.28","1.38","69.84","9","7.32","0.79","15.21","12.64","8","4.11","0.41","1.19","4.42","1.35","1","0.22","0.13","0.82","1.13","0.88","11.04","8.25","1.29","0.31","0.5","1.21"
"353","Lukas Sedlak","CBJ","C","100","847.6","8.476","0.5","0.35","0.07","0.28","0.85","46.15","6.16","8.05","0.71","11.11","9.41","7.5","4.11","0.35","0.71","1.27","0.64","0.64","0","0","1.2","1.13","1.27","10.26","9.49","2.97","15.15","14.51","3.62"
"645","Roope Hintz","DAL","L","109","1257.7833333333","11.539296636086","0.81","0.43","0.29","0.14","1.24","61.90","7.11","11.41","0.69","12.07","9.45","8.35","4.1","0.48","0.81","1.05","0.52","0.52","0","0","1.19","2.24","2.24","6.77","5.1","2.67","14.12","12.78","2.50"
"556","Ross Johnston","NYI","L","72","601.38333333333","8.3525462962963","0.7","0.7","0.4","0.3","1.4","58.33","4.59","15.22","0.59","7.18","5.99","6.09","4.09","0.1","0.5","8.18","2.49","1.6","0.8","0.1","1.4","1.1","1.1","17.86","6.29","2.49","0.2","0.5","2.85"
"560","Ryan Carpenter","CHI, S.J, VGK","C","179","1955.9166666667","10.926908752328","0.37","0.77","0.28","0.49","1.14","53.62","7.18","5.13","0.68","11.78","9.85","7.55","4.08","0.43","0.61","0.83","0.37","0.34","0.03","0","0.52","1.56","1.84","8.83","7.67","1.78","14.82","15.61","1.49"
"235","Tyler Johnson","T.B","C","216","2722.0333333333","12.60200617284","1.08","0.82","0.37","0.44","1.9","60.99","7.83","13.80","0.75","12.89","10.71","8.55","4.06","0.57","1.06","1.19","0.6","0.6","0","0","0.55","1.12","1.1","3.28","3.55","1.81","12.63","12.48","1.11"
"576","William Nylander","TOR","C, R","195","2698.9666666667","13.840854700855","0.8","1.44","0.89","0.56","2.25","68.71","8.38","9.55","0.79","14.92","11.56","9.74","4.05","0.36","0.82","0.71","0.33","0.33","0","0","0.64","2.13","2.69","0.96","4.02","0.93","12.38","10.96","1.18"
"579","Kevin Fiala","MIN, NSH","L","217","2699.3666666667","12.439477726575","0.8","1.04","0.76","0.29","1.84","73.45","8.38","9.55","0.76","15.89","11.94","9.02","4.05","0.56","1","1.51","0.73","0.73","0","0","0.84","2.67","2.27","2.04","4.05","1.36","0.07","0.24","0.48"
"534","Tyler Bertuzzi","DET","L","183","2570.9","14.048633879781","0.79","1.17","0.58","0.58","1.96","73.68","6.39","12.41","0.7","11.69","9.5","7.26","4.04","0.26","0.63","1.42","0.51","0.47","0.02","0.02","0.96","2.24","1.49","4.15","5.58","2.24","0.28","0.51","0.82"
"436","Tom Wilson","WSH","R","199","2700.2166666667","13.568927973199","0.78","1.09","0.53","0.56","1.87","59.15","6.8","11.44","0.71","12.42","9.67","7.62","4.04","0.24","0.89","4.87","1.67","1.38","0.16","0.13","1.38","2.2","1.98","13.75","6.78","2.36","1.11","1.31","1.02"
"218","Adam Henrique","ANA, N.J","C","223","2809.3666666667","12.598056801196","0.83","0.77","0.47","0.3","1.6","66.96","6.09","13.68","0.66","11.02","9.08","7.52","4.04","0.43","0.66","0.73","0.36","0.36","0","0","0.47","1.37","1.62","3.84","3.48","2.71","23.3","21.98","1.10"
