"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"12","Sidney Crosby","PIT","C","191","658.9","3.4497382198953","2.28","5.19","3.1","2.09","7.47","68.91","10.75","21.19","1.78","17.3","14.57","12.48","6.65","0.09","1.91","1.82","0.55","0.46","0","0.09","0.18","2.37","0.55","0.46","1.82","0.09","42.43","30.05","5.33"
"98","Elias Lindholm","CAR, CGY","C","223","653.83333333333","2.9319880418535","2.11","2.66","1.56","1.1","4.77","60.47","11.47","18.40","1.63","18.45","14.96","10.83","6.52","0.09","1.56","1.1","0.55","0.55","0","0","0.18","1.47","1.01","0.73","1.74","0.18","16.52","12.66","5.19"
"29","Evgenii Dadonov","FLA","R","216","722.16666666667","3.3433641975309","1.99","1.66","0.91","0.75","3.66","41.90","9.64","20.69","1.75","19.11","14.95","15.12","6.48","0.17","0.91","0.66","0.33","0.33","0","0","0","2.08","0.33","0.58","1.58","0.33","0","0","-"
"59","Evgeny Kuznetsov","WSH","C","208","734.13333333333","3.5294871794872","1.72","3.6","1.47","2.12","5.31","60.19","11.93","14.38","1.61","18.47","16.26","9.81","6.29","0.08","0.74","1.63","0.82","0.82","0","0","0.08","1.96","0.49","0.25","1.39","0.08","3.51","4.5","3.59"
"107","Brayden Point","T.B","C","218","633.91666666667","2.907874617737","3.03","2.37","0.57","1.8","5.4","50.44","11.45","26.45","1.73","19.78","15.52","16.28","6.15","0.09","1.04","0.85","0.28","0.19","0.09","0","0.47","1.04","0.57","0.19","1.8","0.28","15.43","13.06","5.13"
"48","Matt Duchene","CBJ, COL, NSH, OTT","C","211","566.26666666667","2.6837282780411","2.01","1.8","1.38","0.42","3.81","58.06","10.28","19.59","1.72","15.47","13.88","10.17","6.04","0.11","1.06","0.21","0.11","0.11","0","0","0","2.97","0.32","0.11","1.27","0","26.6","20.34","6.00"
"104","Leon Draisaitl","EDM","C","220","737.58333333333","3.3526515151515","2.68","3.66","2.12","1.55","6.35","71.56","13.34","20.12","2.1","27.01","20.09","17.16","5.78","0.08","1.95","1.14","0.57","0.57","0","0","0.33","3.9","0.65","0.49","2.6","0.16","26.84","24.4","4.26"
"1","Eric Staal","MIN","C","222","560.25","2.5236486486486","2.46","2.36","1.39","0.96","4.82","61.64","11.24","21.90","1.61","18.96","14.78","11.46","5.78","0.11","1.5","1.29","0.64","0.64","0","0","0.32","2.57","0.32","0.64","2.03","0.11","26.02","23.35","5.65"
"49","Brayden Schenn","STL","C","214","612.73333333333","2.8632398753894","2.06","2.84","1.96","0.88","4.9","58.82","10.38","19.81","1.72","17.53","14.39","13.32","5.78","0.2","0.59","1.76","0.88","0.88","0","0","0.69","1.86","0.59","1.47","2.45","0","13.9","13.42","4.98"
"73","William Karlsson","VGK","C","217","501.95","2.313133640553","2.03","2.39","0.96","1.43","4.42","66.07","10.04","20.24","1.6","17.21","13.51","11.95","5.74","0.12","1.08","0.48","0.24","0.24","0","0","0.24","1.43","0.96","0.72","2.99","0.48","18.29","18.89","5.88"
"79","Mark Scheifele","WPG","C","203","689.58333333333","3.3969622331691","2.35","2.44","1.22","1.22","4.79","50.46","12.79","18.37","2","21.4","18.01","17.23","5.66","0","1.57","2.87","0.96","0.78","0.09","0.09","0.26","0.87","1.04","0.52","1.91","0.17","32.37","28.8","4.60"
"30","Max Pacioretty","MTL, VGK","L","191","519.28333333333","2.7187609075044","1.85","2.77","1.73","1.04","4.62","54.79","17.68","10.46","2.17","35.93","25.54","18.14","5.66","0","3.58","3.81","1.73","1.62","0.12","0","0.23","1.5","0.46","0.92","3.24","0.12","1.85","1.96","5.60"
"82","J.T. Miller","NYR, T.B, VAN","C, L","217","615.86666666667","2.8380952380952","2.24","3.31","1.66","1.66","5.55","59.38","8.57","26.14","1.34","13.83","12.28","10.13","5.65","0.1","0.78","1.85","0.78","0.68","0.1","0","0.29","2.73","0.29","1.17","2.05","0.1","18.02","13.83","5.51"
"62","Jaden Schwartz","STL","C, L","191","532.05","2.7856020942408","1.92","2.14","1.35","0.79","4.06","50.70","9.36","20.48","1.46","16.8","13.98","12.86","5.64","0","1.35","0.68","0.34","0.34","0","0","0","0.9","0.68","1.01","1.92","0.11","1.24","1.35","5.39"
"113","Sebastian Aho","CAR","C, R","219","618.56666666667","2.8245053272451","1.75","3.39","1.84","1.55","5.14","69.74","12.8","13.64","1.67","24.44","17.94","11.35","5.53","0.29","1.45","0.78","0.39","0.39","0","0","0.19","2.04","0.97","0.58","1.94","0.1","13.39","11.25","5.27"
"45","Ryan O'Reilly","BUF, STL","C","223","704.63333333333","3.1597907324365","1.96","3.32","1.62","1.7","5.28","60.78","11.75","16.67","1.62","17.29","14.82","12.69","5.36","0","1.11","0.51","0.26","0.26","0","0","0","1.19","1.11","0.51","0.94","0.09","41.38","27.08","5.15"
"77","Jonathan Huberdeau","FLA","C, L","224","771.61666666667","3.4447172619048","1.71","4.43","2.57","1.87","6.14","69.91","10.81","15.83","1.51","18.2","14.23","11.28","5.21","0.08","1.79","1.4","0.7","0.7","0","0","0.7","3.89","0.7","0.47","1.71","0.23","0.23","0.54","2.33"
"75","Ryan Nugent-Hopkins","EDM","C","198","601.73333333333","3.0390572390572","1.79","3.59","1.3","2.29","5.38","55.67","11.17","16.07","1.45","20.84","14.96","14.36","5.09","0.4","1.4","1.89","0.8","0.7","0.1","0","0.2","2.39","1.4","0.7","1.79","0","3.79","2.59","5.92"
"78","Mika Zibanejad","NYR","C","200","606.56666666667","3.0328333333333","3.46","2.87","1.38","1.48","6.33","73.56","17.9","19.34","2.05","31.55","24.43","12.76","5.04","0.3","1.38","0.69","0.2","0.1","0.1","0","0.3","4.06","0.79","0.79","3.26","0.2","28.19","25.82","5.16"
"44","Kyle Palmieri","N.J","C, R","191","595.4","3.117277486911","3.22","2.52","1.21","1.31","5.74","67.86","18.54","17.39","2.3","35.17","27.41","16.73","5.04","0.71","1.61","1.01","0.5","0.5","0","0","0.3","0.71","0.71","1.81","3.22","0.6","0.6","0.81","4.32"
"66","Tyler Seguin","DAL","C","224","659.01666666667","2.9420386904762","2.37","3.73","2.19","1.55","6.1","69.79","22.03","10.74","2.36","35.69","27.86","18.57","5.01","0.27","3.19","0.73","0.36","0.36","0","0","0.09","1.91","0.64","0.27","1.09","0.36","15.2","11.2","5.24"
"105","Dylan Larkin","DET","C","220","565.43333333333","2.5701515151515","1.38","2.12","0.96","1.17","3.5","55.00","9.97","13.83","1.42","18.57","13.48","10.82","4.88","0.11","0.85","4.67","1.59","1.27","0.21","0.11","0.21","3.4","0.64","0.64","2.65","0.11","33.64","21.12","6.52"
"40","Derek Stepan","ARI","C","217","522.43333333333","2.4075268817204","0.57","2.64","1.26","1.38","3.22","50.91","6.55","8.77","1.18","13.21","10.22","9.42","4.71","0","2.07","0.69","0.34","0.34","0","0","0.34","1.49","0.92","0.8","2.64","0.23","27.56","27.91","5.71"
"42","Gustav Nyquist","CBJ, DET, S.J","C, R","224","532.41666666667","2.3768601190476","0.9","2.37","1.35","1.01","3.27","56.86","10.26","8.79","1.41","16.34","13.3","11.16","4.62","0","1.01","0.68","0.34","0.34","0","0","0.11","2.14","0.45","0.68","2.03","0.23","0.45","0.34","6.44"
"87","Alex Galchenyuk","ARI, MIN, MTL, PIT","C, L","203","545.68333333333","2.6880952380952","2.2","3.41","1.65","1.76","5.61","71.83","17.15","12.82","1.94","27.82","22.21","12.75","4.51","0.22","1.98","1.1","0.55","0.55","0","0","0","2.2","0.22","0.22","3.41","0.22","5.39","8.69","4.21"
"11","Alexander Radulov","DAL","R","205","622.88333333333","3.0384552845528","2.02","3.28","1.54","1.73","5.3","63.22","12.43","16.28","1.57","20.71","15.99","11.17","4.33","0.19","2.12","1.73","0.87","0.87","0","0","0.39","3.08","0.1","0.19","1.93","0.58","0.1","0.19","3.21"
"84","Rickard Rakell","ANA","C, L, R","200","504.05","2.52025","1.9","2.62","1.55","1.07","4.52","69.09","14.28","13.33","1.73","23.21","19.05","12.74","4.29","0.12","1.43","0.71","0.36","0.36","0","0","0","1.67","0.36","1.9","3.21","0.12","4.29","3.69","6.40"
"124","Pierre-Luc Dubois","CBJ","C, L","225","512.33333333333","2.277037037037","1.05","2.81","1.05","1.76","3.86","54.10","8.43","12.50","1.2","15.22","12.41","8.78","4.22","0.12","1.17","2.93","0.82","0.59","0.12","0.12","0","1.87","0","0.82","3.98","0","11.59","12.18","5.71"
"106","David Pastrnak","BOS","R","209","715","3.4210526315789","4.03","3.86","2.18","1.68","7.89","72.31","18.71","21.52","2.26","35.66","26.77","15.1","4.2","0.34","1.76","1.34","0.67","0.67","0","0","0.34","4.45","0.84","0.42","3.61","0.25","0","0.25","0.00"
"67","Mikael Granlund","MIN, NSH","C, R","209","520.96666666667","2.492663476874","1.5","3.57","2.42","1.15","5.07","72.13","10.6","14.13","1.34","16.7","13.94","8.29","4.15","0","1.38","1.61","0.81","0.81","0","0","0.23","1.84","0.23","0.58","4.26","0.23","5.87","5.76","5.82"
"18","Brad Marchand","BOS","C, L","208","696.16666666667","3.3469551282051","1.98","5","2.41","2.59","6.98","62.31","11.03","17.97","1.42","18.79","14.74","10.69","3.96","0.17","1.29","3.36","1.55","1.47","0.09","0","0.52","2.76","0.34","0.34","3.36","0","2.33","2.24","4.39"
"22","Nicklas Backstrom","WSH","C","212","784.86666666667","3.7022012578616","1.22","3.9","1.61","2.29","5.12","57.76","7.72","15.84","1.06","11.31","10.09","6.88","3.82","0","0.99","0.92","0.46","0.46","0","0","0.23","2.29","0.69","0.46","1.15","0.08","16.74","16.59","3.84"
"85","Jonathan Marchessault","VGK","C","215","535.76666666667","2.4919379844961","1.9","3.02","1.46","1.57","4.93","66.67","20.05","9.50","2.26","34.38","25.98","15.23","3.7","0.34","3.7","1.79","0.9","0.9","0","0","0.22","2.24","0.45","1.46","2.91","0","5.82","5.15","5.94"
"110","Connor McDavid","EDM","C","215","732.56666666667","3.4072868217054","2.05","5.32","3.44","1.88","7.37","81.82","12.2","16.78","1.43","20.89","15.07","13.43","3.69","0.08","1.88","0.49","0.25","0.25","0","0","0.25","3.19","1.06","0.57","2.7","0.25","3.19","3.28","4.04"
"121","Alex DeBrincat","CHI","L, R","224","632.26666666667","2.822619047619","2.66","1.9","1.42","0.47","4.56","64.86","11.29","23.53","1.59","22.59","16.23","13.76","3.61","0.09","1.52","0.66","0.19","0.09","0.09","0","0.28","1.42","0.76","0.57","2.66","0.19","0.38","0.76","3.16"
"54","Tomas Tatar","DET, MTL, VGK","L","224","500.11666666667","2.2326636904762","2.52","1.68","0.72","0.96","4.2","59.32","12.96","19.44","1.38","22.79","17.76","12.24","3.6","0.48","1.32","1.32","0.48","0.36","0.12","0","0.24","2.04","1.32","0.84","2.88","0.24","0","0.48","0.00"
"21","Phil Kessel","ARI, PIT","C, R","227","783.66666666667","3.4522760646109","2.53","4.75","2.6","2.14","7.27","77.24","11.94","21.15","1.43","21.44","14.62","12.33","3.52","0.08","2.07","0.92","0.46","0.46","0","0","0","3.22","0.15","0.08","1.15","0.23","0.08","0.08","3.83"
"70","Mark Stone","OTT, VGK","R","196","529.53333333333","2.7017006802721","1.59","3.85","2.61","1.25","5.44","71.64","10.31","15.38","1.38","20.06","14.16","12.01","3.51","0.11","2.15","1.59","0.45","0.23","0.23","0","0.34","2.72","1.36","1.36","0.91","0","1.36","1.36","5.67"
"72","Vincent Trocheck","FLA","C","190","523.31666666667","2.754298245614","1.83","3.32","1.26","2.06","5.16","66.18","13.19","13.91","1.72","24.65","20.06","11.69","3.44","0.11","1.03","2.29","1.15","1.15","0","0","0.92","2.52","0.46","0.69","3.67","0.34","20.41","13.64","6.87"
"123","Clayton Keller","ARI","C, R","227","715.73333333333","3.1530102790015","0.75","3.77","1.93","1.84","4.53","72.00","13.08","5.77","1.45","23.47","17.69","11.82","3.35","0.17","2.1","0.34","0.17","0.17","0","0","0.25","1.93","0.67","0.42","3.02","0.08","0.67","1.59","2.48"
"26","Logan Couture","S.J","C","204","605.01666666667","2.9657679738562","1.59","3.07","1.39","1.69","4.66","58.75","16.07","9.88","1.48","30.15","21.82","13.19","3.27","0.2","2.18","0.6","0.2","0.2","0","0","0.3","2.38","0.79","0.4","2.08","0.4","2.48","2.68","4.77"
"102","Max Domi","ARI, MTL","C, L","226","571.98333333333","2.5308997050147","0.63","2.62","1.15","1.47","3.25","57.41","9.97","6.32","1.12","19.09","13.11","8.18","3.15","0.1","1.99","4.62","1.99","1.78","0.21","0","0.42","3.25","1.15","0.31","1.99","0","17.2","16.05","5.43"
"94","Nathan MacKinnon","COL","C","215","842.25","3.9174418604651","2.42","4.49","2.49","1.99","6.91","74.62","17.31","13.99","1.72","29.78","22.65","14.03","3.13","0.28","2.14","0.85","0.43","0.43","0","0","0.28","2.21","0.36","0.93","1.71","0.07","10.61","11.75","3.38"
"90","Filip Forsberg","NSH","L","184","540.25","2.9361413043478","2.78","1.89","1.44","0.44","4.66","68.85","15.66","17.73","1.74","32.32","22.66","13.99","3.11","0","1.67","2.33","1","0.89","0.11","0","0","4","0.44","0.44","1.67","0.22","0.11","0.56","1.85"
"9","Evgeni Malkin","PIT","C","190","667.7","3.5142105263158","2.52","5.03","2.07","2.97","7.55","75.68","15.37","16.37","1.54","26.24","19.05","12.58","2.97","0.18","2.43","4.04","1.53","1.35","0.09","0.09","0.18","3.59","0.9","0.63","2.16","0.36","5.75","5.57","4.56"
"114","Brock Boeser","VAN","R","187","661.38333333333","3.5368092691622","1.91","2.81","1.27","1.54","4.72","61.18","16.6","11.48","1.58","30.75","21.95","13.79","2.81","0","1.36","0.54","0.27","0.27","0","0","0.36","1.63","0.18","0.27","1.91","0.18","0.36","0.36","4.54"
"65","Ryan Johansen","NSH","C","218","654","3","0.37","3.3","1.1","2.2","3.67","58.82","6.79","5.41","0.85","11.65","9.08","6.33","2.75","0","0.83","2.11","0.92","0.83","0.09","0","0.28","2.94","0.64","1.01","2.11","0.28","25.5","20.92","5.04"
"115","Mathew Barzal","NYI","C","223","645.78333333333","2.895889387145","1.11","3.9","1.58","2.32","5.02","65.85","8.55","13.04","1.01","12.45","10.13","8.27","2.69","0","0.65","1.49","0.74","0.74","0","0","0.46","5.02","1.3","0.28","1.77","0.09","3.53","4.46","4.11"
"28","Patrick Kane","CHI","R","223","793.48333333333","3.55822122571","1.51","3.86","2.19","1.66","5.37","76.34","15.65","9.66","1.56","28.13","19.89","13.16","2.57","0.23","1.66","1.21","0.6","0.6","0","0","0.23","1.44","0.3","0.23","2.8","0.08","0.08","0.08","3.78"
"112","Mikko Rantanen","COL","R","197","750.35","3.808883248731","2.88","3.68","2.08","1.6","6.56","70.09","11.11","25.90","1.25","20.31","15.51","9.04","2.56","0","1.12","1.28","0.64","0.64","0","0","0.48","1.44","0.64","0.48","1.52","0.32","2.24","2.08","4.15"
"13","Anze Kopitar","L.A","C","223","641.26666666667","2.8756352765321","1.22","4.77","2.43","2.34","5.99","80.00","9.17","13.27","1","18.25","12.07","7.58","2.53","0.19","1.31","0.37","0.19","0.19","0","0","0.28","2.43","0.28","0.28","2.06","0","30.97","25.08","5.17"
"71","Johnny Gaudreau","CGY","L","223","744.88333333333","3.3402840059791","1.05","4.35","2.26","2.09","5.4","66.34","10.79","9.70","1.25","21.18","15.47","9.18","2.5","0.08","2.17","1.45","0.4","0.32","0","0.08","0.4","4.83","0.4","0.08","1.21","0","0.08","0.16","2.68"
"31","Jakub Voracek","PHI","R","220","718.61666666667","3.2664393939394","1.09","4.51","2.59","1.92","5.59","68.37","12.86","8.44","1.22","24.8","17.87","8.93","2.5","0.17","2.5","1.34","0.67","0.67","0","0","0.33","2.5","0.83","0.25","1.17","0.08","0.17","0","8.35"
"89","Teuvo Teravainen","CAR","L","223","618.45","2.7733183856502","1.55","4.56","2.81","1.75","6.11","76.83","13","11.94","1.43","26.1","18.63","10.77","2.43","0.19","2.33","0.58","0.29","0.29","0","0","0.19","2.33","0.78","0.29","1.46","0.29","0.19","0.58","2.43"
"58","Mats Zuccarello","DAL, MIN, NYR","C, R","183","500.96666666667","2.7375227686703","0.96","3.71","1.68","2.04","4.67","59.09","8.74","10.96","1","15.57","12.1","6.83","2.4","0","1.44","1.44","0.72","0.72","0","0","0.36","3.11","0.72","0.84","2.99","0.12","0.84","0.96","5.59"
"122","Patrik Laine","WPG","R","223","733.61666666667","3.2897608370703","3.35","2.04","1.15","0.9","5.4","55.93","17.91","18.72","1.94","36.48","28.05","12.19","2.21","0.25","1.06","1.96","0.98","0.98","0","0","0.08","2.37","0.9","0.49","0.74","0","0.16","0.57","1.82"
"61","Vladimir Tarasenko","STL","R","166","517.31666666667","3.1163654618474","2.32","2.55","1.04","1.51","4.87","71.19","17.51","13.25","1.73","33.29","23.78","14.61","2.2","0.58","1.74","0.46","0.23","0.23","0","0","0.12","0.81","0.93","0.23","1.16","0.23","0","0","-"
"118","Mitchell Marner","TOR","C, R","214","547.76666666667","2.5596573208723","1.86","5.7","3.07","2.63","7.56","70.41","13.47","13.82","1.43","26.29","17.96","13.69","2.19","0.11","2.63","0.22","0.11","0.11","0","0","0.44","2.3","0.88","0.55","1.31","0.22","0.44","0.11","8.76"
"34","Steven Stamkos","T.B","C","214","743.7","3.4752336448598","3.39","3.87","2.34","1.53","7.26","68.18","17.59","19.27","1.91","33.24","25.01","16.05","2.1","0","1.45","1.05","0.4","0.32","0.08","0","0.08","2.42","0.24","0.48","1.29","0.32","13.31","9.92","4.62"
"43","Mike Hoffman","FLA, OTT","C, L","224","755.36666666667","3.3721726190476","2.62","3.26","1.27","1.99","5.88","62.18","18.11","14.47","1.6","34.08","24.54","11.99","2.07","0.08","2.07","1.27","0.64","0.64","0","0","0.24","3.81","0.79","0.32","2.22","0.16","0.64","1.19","2.76"
"36","Josh Bailey","NYI","C, R","217","535.25","2.4665898617512","1.01","5.04","2.91","2.13","6.05","77.14","9.42","10.71","0.91","16.81","11.21","9.08","1.79","0.11","1.23","2.13","0.9","0.78","0.11","0","0","4.37","0.78","0.11","1.68","0.22","4.48","4.37","5.68"
"64","Taylor Hall","ARI, N.J","L","167","546.16666666667","3.2704590818363","1.98","5.27","3.19","2.09","7.25","79.52","14.83","13.33","1.27","25.16","19.44","10.44","1.76","0.22","1.1","1.32","0.66","0.66","0","0","0.33","4.72","0.55","0.77","3.84","0.55","2.53","2.31","5.74"
"74","Nikita Kucherov","T.B","R","220","781.85","3.5538636363636","2.07","5.99","3.53","2.46","8.06","77.78","14.27","14.52","1.53","30.7","22.49","13.28","1.69","0.54","1.46","0.92","0.46","0.46","0","0","0.38","4.99","0.84","0.69","1.46","0","0","0","-"
"108","Kevin Labanc","S.J","R","218","505.53333333333","2.3189602446483","1.07","4.15","2.26","1.9","5.22","64.71","11.39","9.38","1.09","20.41","15.67","10.68","1.66","0.12","1.07","1.42","0.71","0.71","0","0","0.12","2.85","0.47","0.24","2.73","0.36","0","0.12","0.00"
"39","Roman Josi","NSH","D","216","654.41666666667","3.0297067901235","1.19","3.58","2.02","1.56","4.77","77.61","16.32","7.30","1.43","30.35","21.82","9.44","1.65","0.18","2.38","0.55","0.28","0.28","0","0","0.37","2.29","0.73","0.28","1.1","0.73","0","0","-"
