"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"25","James van Riemsdyk","PHI, TOR","L","207","529.23333333333","2.5566827697262","2.61","2.04","1.25","0.79","4.65","52.56","16.44","15.86","3.35","23.24","21.65","20.29","16.55","0.11","3.74","0.68","0.34","0.34","0","0","0","1.47","0.11","0.68","1.13","0.23","0.11","0.11","5.67"
"57","Anders Lee","NYI","C, L","223","608.33333333333","2.7279521674141","2.47","1.68","1.08","0.59","4.14","57.53","14.01","17.61","2.72","20.12","18.25","19.43","15.58","0.1","2.17","2.37","0.89","0.69","0.2","0","0.79","1.58","0.69","1.08","1.97","0","4.54","5.62","4.40"
"17","Patric Hornqvist","PIT","R","180","559.46666666667","3.1081481481481","2.47","1.82","0.64","1.18","4.29","36.04","16.52","14.94","3.26","23.7","20.91","22.09","15.55","0.11","2.25","3.32","1.5","1.39","0.11","0","0.43","1.18","0.32","2.57","3.43","0.21","0","0.54","0.00"
"32","Wayne Simmonds","N.J, NSH, PHI","R","213","627.61666666667","2.9465571205008","1.91","1.24","0.76","0.48","3.15","44.00","13","14.71","2.8","19.22","17.49","17.78","15.01","0","2.29","6.12","1.72","1.15","0.38","0.19","0.29","0.96","0.48","1.53","2.49","0","1.34","1.24","4.96"
"68","Brendan Gallagher","MTL","R","215","509.2","2.3683720930233","1.53","1.89","0.82","1.06","3.42","47.54","12.37","12.38","2.42","19.09","16.61","16.14","12.37","0","1.89","2.95","1.3","1.18","0.12","0","0.71","0.71","0.82","1.06","3.89","0","4.71","5.54","5.42"
"88","Tomas Hertl","S.J","C","204","544.18333333333","2.6675653594771","2.09","1.65","0.44","1.21","3.75","40.96","10.81","19.39","2.52","19.63","17.75","17.09","12.24","0.11","1.87","0.88","0.44","0.44","0","0","0.44","1.1","0.99","0.33","2.21","0.11","25.58","21.06","6.05"
"53","Chris Kreider","NYR","C, L","195","558.1","2.8620512820513","2.47","1.51","1.18","0.32","3.98","43.02","11.5","21.50","2.44","18.6","17.42","15.7","11.93","0","1.72","3.23","1.29","1.08","0.22","0","0.11","3.23","0.32","1.83","2.69","0.22","0.97","2.26","3.23"
"46","John Tavares","NYI, TOR","C","218","627.65","2.879128440367","2.68","3.63","2.2","1.43","6.31","60.55","16.63","16.09","2.79","28.58","23.71","21.99","11.66","0","2.49","0.57","0.29","0.29","0","0","0.29","2.77","0.38","0.67","1.91","0","39","29.06","5.48"
"51","Nazem Kadri","COL, TOR","C","204","549.08333333333","2.6915849673203","2.19","2.51","1.09","1.42","4.7","45.74","13.11","16.67","2.68","23.6","20.43","20","11.58","0.11","3.17","3.39","1.53","1.42","0.11","0","0.44","1.75","0.22","0.98","2.4","0.33","15.74","10.93","6.45"
"120","Matthew Tkachuk","CGY","L","208","643.45","3.0935096153846","2.42","2.89","1.4","1.49","5.32","66.28","13.15","18.44","2.23","20.42","17.62","15.67","11.28","0","2.52","2.24","0.84","0.65","0.19","0","0.93","2.05","0.47","0.28","2.14","0","0.37","0.56","3.73"
"109","Kyle Connor","WPG","L","219","694.21666666667","3.1699391171994","2.25","1.64","0.6","1.04","3.89","45.45","12.62","17.81","2.16","16.42","15.21","14.43","10.89","0.09","1.56","0.86","0.43","0.43","0","0","0.26","1.3","0.69","0.17","2.25","0","0.17","0.17","4.32"
"24","Jamie Benn","DAL","L","220","601.36666666667","2.7334848484848","2.39","2.1","0.8","1.3","4.49","51.72","13.37","17.91","2.49","21.85","18.46","16.26","10.08","0.1","2","3.29","1.2","0.9","0.3","0","0.5","2.89","0.7","2","2.29","0.2","16.36","14.17","5.35"
"99","Sean Monahan","CGY","C","213","712.01666666667","3.3428012519562","2.28","2.36","1.35","1.01","4.63","55.56","11.21","20.30","2.47","20.48","16.85","17.86","9.27","0.08","2.28","1.01","0.51","0.51","0","0","0.17","2.28","0.93","0.42","1.26","0.08","25.11","23.01","4.40"
"76","Gabriel Landeskog","COL","L","194","736.81666666667","3.7980240549828","1.79","2.52","0.81","1.71","4.32","48.18","9.61","18.64","1.7","15.31","13.84","12.62","8.55","0","1.22","2.28","0.9","0.73","0.16","0","0.16","1.47","0.41","0.9","2.93","0.24","14.82","11.64","4.56"
"101","Bo Horvat","VAN","C","206","689.05","3.3449029126214","2.09","1.57","0.52","1.04","3.66","50.00","10.62","19.67","1.66","14.45","12.8","12.36","8.27","0.09","1.22","0.17","0.09","0.09","0","0","0.26","1.22","0.35","0.96","0.87","0.17","34.66","25.43","5.02"
"14","T.J. Oshie","WSH","R","202","701.63333333333","3.4734323432343","2.14","1.62","0.77","0.86","3.76","41.12","9.58","22.32","1.89","16.85","14.37","14.54","8.04","0.17","1.54","1.8","0.68","0.6","0.09","0","0.6","1.54","0.86","1.97","2.14","0.26","15.82","18.56","3.94"
"6","Joe Pavelski","DAL, S.J","C","215","638.21666666667","2.9684496124031","2.35","2.73","1.6","1.13","5.08","58.70","11.85","19.84","1.95","19.55","16.26","15.32","7.9","0","1.6","2.54","1.13","1.03","0.09","0","0.09","1.97","0.94","1.5","1.69","0.38","21.15","14.85","5.52"
"41","Adam Henrique","ANA, N.J","C","223","530.58333333333","2.3792974588939","2.15","1.58","0.68","0.9","3.73","52.38","9.39","22.89","1.66","16.4","13.8","12.44","7.8","0","0.79","0.9","0.45","0.45","0","0","0.34","0.9","0.79","1.47","1.58","0.57","24.77","17.87","6.57"
"56","Craig Smith","NSH","C, R","214","501.85","2.3450934579439","1.91","1.32","0.96","0.36","3.23","46.55","10.88","17.58","2.1","20.09","17.1","16.5","7.65","0.12","1.43","2.87","0.96","0.84","0","0.12","0.6","1.67","0.24","0.6","2.15","0.12","0.96","1.2","5.31"
"103","Sam Reinhart","BUF","C","224","743.7","3.3200892857143","1.53","2.26","1.53","0.73","3.79","47.00","8.07","19.00","1.65","13.96","12.75","10.97","7.58","0","0.65","1.29","0.65","0.65","0","0","0.08","1.37","0.4","0.32","3.31","0.08","1.37","2.42","2.92"
"3","Dustin Brown","L.A","L, R","209","543.71666666667","2.6015151515152","2.1","1.32","0.55","0.77","3.42","44.93","8.72","24.05","1.54","12.8","11.04","9.38","7.5","0","1.1","1.1","0.55","0.55","0","0","0.22","1.77","0.44","2.65","1.99","0","0.11","0.22","3.68"
"80","Sean Couturier","PHI","C","222","680.86666666667","3.066966966967","1.59","2.11","1.06","1.06","3.7","44.21","10.66","14.88","1.93","19.83","16.66","14.98","7.4","0","1.94","1.76","0.88","0.88","0","0","0.18","1.06","0.35","0.44","1.85","0.18","17.01","8.72","5.82"
"95","Aleksander Barkov","FLA","C","218","748.93333333333","3.4354740061162","2","3.28","1.6","1.68","5.29","57.39","10.25","19.53","1.66","16.02","14.1","12.26","7.05","0","1.12","0.48","0.24","0.24","0","0","0.24","2.48","1.04","0.24","2.48","0.16","32.37","24.68","4.55"
"5","Patrice Bergeron","BOS","C","181","599.63333333333","3.3128913443831","2.9","3.8","1.8","2","6.7","57.26","15.61","18.59","2.23","28.22","22.71","21.11","6.9","0","1.3","0.8","0.4","0.4","0","0","0.4","1.5","1.4","0.7","1","0.3","41.63","30.62","5.77"
"23","Jonathan Toews","CHI","C","216","689.5","3.1921296296296","1.04","2.52","1.31","1.22","3.57","50.62","10.7","9.76","1.58","17.4","14.18","11.75","6.79","0","1.57","2.26","1.04","1.04","0","0","0.09","1.13","0.61","0.35","3.22","0","38.46","25.32","5.25"
"63","Jeff Skinner","BUF, CAR","C, L","214","551.71666666667","2.5781152647975","1.31","1.74","0.98","0.76","3.05","48.28","14.25","9.16","2.09","22.84","19.03","15.66","6.74","0.11","1.52","2.39","1.2","1.2","0","0","0.33","1.52","0.76","0.22","2.28","0.11","7.94","5","6.67"
