"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"85","Evander Kane","BUF, S.J","L","209","207.18333333333","64","259","19.81","59","192","23.51","46","134","25.56","10","7","58.82","4.18","17.58","19.20","34","145","18.99","18","64","21.95","6","4","60.00","21.74","94.78","1.165","7","21","56","270","11.11","12","34","72","14.29"
"103","Brock Nelson","NYI","C","225","204.88333333333","41","354","10.38","35","261","11.82","32","193","14.22","1","21","4.55","2.77","23.25","10.64","23","208","9.96","15","76","16.48","1","7","12.50","3.13","89.12","0.922","5","23","122","227","3.94","14","37","151","8.48"
"99","Tyler Toffoli","L.A, VAN","C, R","224","202.58333333333","71","308","18.73","64","247","20.58","51","160","24.17","1","30","3.23","3.84","23.71","13.93","33","186","15.07","16","80","16.67","1","16","5.88","1.96","81.25","0.832","4","20","104","256","3.70","7","29","135","4.93"
"218","Brett Howden","NYR","C","127","200.9","37","344","9.71","34","266","11.33","30","192","13.51","3","21","12.50","1.82","24.38","6.95","17","180","8.63","8","86","8.51","3","7","30.00","10.00","89.06","0.991","7","17","101","219","6.48","9","28","122","6.87"
"101","Charlie Coyle","BOS, MIN","C","210","198.8","50","271","15.58","45","218","17.11","40","150","21.05","4","20","16.67","2.86","17.56","14.01","23","129","15.13","8","51","13.56","2","7","22.22","10.00","86.67","0.967","6","22","95","236","5.94","12","32","120","9.09"
"54","Artem Anisimov","CHI, OTT","C","195","197.18333333333","59","323","15.45","49","242","16.84","44","187","19.05","2","27","6.90","3.62","21.93","14.18","29","161","15.26","11","73","13.10","1","11","8.33","4.55","85.56","0.901","15","28","78","252","16.13","21","38","101","17.21"
"34","Paul Stastny","STL, VGK, WPG","C","196","196.95","48","337","12.47","44","259","14.52","40","178","18.35","4","30","11.76","2.57","24.2","9.61","21","181","10.40","13","75","14.77","2","14","12.50","10.00","83.15","0.931","9","28","158","180","5.39","19","39","200","8.68"
"116","Marcus Sorensen","S.J","L","170","195.8","36","297","10.81","34","238","12.50","26","164","13.68","3","20","13.04","1.9","22.25","7.87","17","168","9.19","13","79","14.13","2","14","12.50","11.54","87.80","0.993","6","20","69","273","8.00","11","30","86","11.34"
"208","Lawson Crouse","ARI","L","153","193.95","60","297","16.81","56","222","20.14","50","152","24.75","4","18","18.18","2.83","19.34","12.75","23","147","13.53","10","62","13.89","2","8","20.00","8.00","88.16","0.962","3","19","34","284","8.11","5","25","44","10.20"
"177","Jacob de la Rose","DET, MTL, STL","C, L","163","193.31666666667","36","315","10.26","33","249","11.70","27","178","13.17","1","28","3.45","1.71","23.82","6.69","13","168","7.18","6","80","6.98","1","18","5.26","3.70","84.27","0.880","12","21","84","206","12.50","15","34","100","13.04"
"207","Sebastian Aho","CAR","C, R","221","192.41666666667","66","223","22.84","62","176","26.05","53","123","30.11","5","17","22.73","5.2","16.11","24.40","39","116","25.16","29","52","35.80","4","11","26.67","9.43","86.18","0.956","9","10","52","291","14.75","17","22","61","21.79"
"43","Bryan Little","WPG","C","171","187.41666666667","34","360","8.63","27","273","9.00","27","203","11.74","2","22","8.33","1.39","24.57","5.34","16","170","8.60","7","67","9.46","1","13","7.14","7.41","89.16","0.966","9","23","160","157","5.33","12","29","180","6.25"
"95","Marcus Kruger","CAR, CHI","C","122","183.85","30","333","8.26","27","265","9.25","25","192","11.52","1","32","3.03","1.18","26.91","4.19","9","179","4.79","3","96","3.03","0","17","0.00","4.00","83.33","0.873","6","26","144","174","4.00","10","40","172","5.49"
"139","Mark Scheifele","WPG","C","206","180.11666666667","50","323","13.40","41","245","14.34","28","191","12.79","5","29","14.71","2.59","21.3","10.85","25","161","13.44","13","74","14.94","2","18","10.00","17.86","84.82","1.027","10","29","111","198","8.26","14","36","142","8.97"
"80","Tyler Bozak","STL, TOR","C","213","178.63333333333","32","287","10.03","31","210","12.86","26","160","13.98","0","24","0.00","1.35","17.21","7.29","10","135","6.90","6","53","10.17","0","9","0.00","0.00","85.00","0.850","6","17","150","139","3.85","9","25","182","4.71"
"128","Nick Shore","CGY, L.A, OTT, TOR, WPG","C","120","178.31666666667","43","305","12.36","37","239","13.41","27","158","14.59","1","16","5.88","2.1","21.27","8.98","19","160","10.61","8","64","11.11","1","8","11.11","3.70","89.87","0.936","2","19","139","145","1.42","3","29","163","1.81"
"160","Jimmy Vesey","BUF, NYR","L","218","176.63333333333","38","251","13.15","34","200","14.53","26","158","14.13","2","27","6.90","2.58","17.55","12.81","25","139","15.24","11","58","15.94","2","9","18.18","7.69","82.91","0.906","8","16","55","233","12.70","12","22","75","13.79"
"147","Tanner Pearson","L.A, PIT, VAN","L","223","175.1","42","328","11.35","40","240","14.29","37","182","16.89","2","22","8.33","1.87","23.23","7.45","16","177","8.29","6","74","7.50","1","7","12.50","5.41","87.91","0.933","1","8","77","237","1.28","4","13","91","4.21"
"220","Zach Aston-Reese","PIT","C","116","174.25","39","269","12.66","34","200","14.53","32","140","18.60","4","17","19.05","2.57","17.13","13.06","18","129","12.24","13","47","21.67","3","10","23.08","12.50","87.86","1.004","3","24","84","201","3.45","6","29","108","5.26"
"153","Teuvo Teravainen","CAR","L","225","173.6","57","194","22.71","54","152","26.21","47","108","30.32","5","16","23.81","4.51","13.36","25.24","34","99","25.56","27","39","40.91","4","9","30.77","10.64","85.19","0.958","9","8","48","261","15.79","15","18","59","20.27"
"197","Brayden Point","T.B","C","219","170.65","39","314","11.05","32","242","11.68","24","185","11.48","4","24","14.29","1.7","19.29","8.09","21","155","11.93","8","58","12.12","4","12","25.00","16.67","87.03","1.037","2","22","143","134","1.38","3","34","180","1.64"
"164","Teddy Blueger","PIT","C","89","169.81666666667","54","229","19.08","49","176","21.78","37","139","21.02","5","18","21.74","3.46","14.95","18.81","31","115","21.23","15","42","26.32","3","9","25.00","13.51","87.05","1.006","7","27","129","142","5.15","13","36","174","6.95"
"2","Derek MacKenzie","FLA","C","76","169.3","46","314","12.78","44","242","15.38","34","188","15.32","5","28","15.15","2.53","23.1","9.87","18","158","10.23","8","82","8.89","3","18","14.29","14.71","85.11","0.998","6","19","137","110","4.20","10","38","169","5.59"
"14","Zach Parise","MIN","L","177","167.65","35","266","11.63","31","206","13.08","24","143","14.37","1","20","4.76","1.98","16.44","10.74","20","123","13.99","8","48","14.29","1","7","12.50","4.17","86.01","0.902","5","21","62","217","7.46","11","28","73","13.10"
"30","Brandon Dubinsky","CBJ","C","123","167.26666666667","44","253","14.81","39","192","16.88","35","140","20.00","3","17","15.00","2.1","17.82","10.54","21","122","14.69","11","56","16.42","2","8","20.00","8.57","87.86","0.964","5","15","155","109","3.13","8","26","207","3.72"
"196","Warren Foegele","CAR","L","140","165.23333333333","55","200","21.57","49","158","23.67","41","124","24.85","3","21","12.50","3.18","15.64","16.91","24","104","18.75","13","56","18.84","3","12","20.00","7.32","83.06","0.904","4","19","28","252","12.50","15","31","36","29.41"
"217","Luke Kunin","MIN","C","127","165.21666666667","30","302","9.04","26","237","9.89","21","178","10.55","2","28","6.67","0.81","20.62","3.79","10","148","6.33","4","62","6.06","0","17","0.00","9.52","84.27","0.938","7","18","94","144","6.93","10","25","130","7.14"
"182","Bo Horvat","VAN","C","207","163.78333333333","39","266","12.79","35","195","15.22","31","142","17.92","3","21","12.50","2.27","18.18","11.11","21","155","11.93","13","61","17.57","2","9","18.18","9.68","85.21","0.949","9","27","162","117","5.26","12","37","214","5.31"
"79","Tyler Johnson","T.B","C","218","163.4","25","299","7.72","22","231","8.70","19","165","10.33","3","18","14.29","1.51","17.29","8.04","16","136","10.53","7","54","11.48","3","9","25.00","15.79","89.09","1.049","5","20","123","131","3.91","7","28","151","4.43"
"215","Kevin Rooney","N.J","C","83","163.36666666667","45","243","15.63","43","166","20.57","37","111","25.00","4","15","21.05","3.01","13.55","18.18","25","122","17.01","9","37","19.57","1","7","12.50","10.81","86.49","0.973","3","9","74","152","3.90","10","24","105","8.70"
"97","Mats Zuccarello","DAL, MIN, NYR","C, R","185","163.31666666667","32","265","10.77","29","200","12.66","24","158","13.19","0","22","0.00","1.58","18.77","7.78","17","145","10.49","7","65","9.72","0","12","0.00","0.00","86.08","0.861","7","12","69","183","9.21","9","25","88","9.28"
"193","Jared McCann","FLA, PIT","C","205","161.18333333333","52","239","17.87","48","176","21.43","38","119","24.20","5","15","25.00","2.62","16.1","14.00","24","120","16.67","10","50","16.67","3","7","30.00","13.16","87.39","1.006","6","13","83","218","6.74","11","23","100","9.91"
"104","Devante Smith-Pelly","WSH","R","129","160.48333333333","32","268","10.67","28","187","13.02","20","134","12.99","0","16","0.00","1.32","17.68","6.96","17","137","11.04","6","69","8.00","0","10","0.00","0.00","88.06","0.881","4","21","75","172","5.06","10","24","94","9.62"
"224","Par Lindholm","BOS, TOR, WPG","C","99","159.9","49","267","15.51","43","197","17.92","38","138","21.59","0","16","0.00","2.05","17.8","10.32","20","128","13.51","8","51","13.56","0","7","0.00","0.00","88.41","0.884","3","14","143","144","2.05","5","26","178","2.73"
"58","Jamie Benn","DAL","L","222","158.36666666667","28","249","10.11","26","188","12.15","23","141","14.02","2","19","9.52","1.7","15.66","9.80","16","122","11.59","4","44","8.33","1","8","11.11","8.70","86.52","0.952","9","29","203","161","4.25","12","40","244","4.69"
"212","Evan Rodrigues","BUF","C, L","160","156.48333333333","44","222","16.54","40","186","17.70","32","137","18.93","3","21","12.50","1.71","15.32","10.06","16","105","13.22","7","52","11.86","2","12","14.29","9.38","84.67","0.940","4","9","67","170","5.63","7","19","91","7.14"
"15","Eric Fehr","MIN, S.J, TOR","C","90","154.9","42","245","14.63","39","168","18.84","26","123","17.45","0","14","0.00","2.11","12.75","14.20","16","109","12.80","9","32","21.95","0","4","0.00","0.00","88.62","0.886","0","24","159","64","0.00","1","31","204","0.49"
"56","Mark Letestu","CBJ, EDM, WPG","C","89","151.21666666667","34","258","11.64","29","194","13.00","26","138","15.85","2","26","7.14","1.72","18.84","8.38","18","154","10.47","7","65","9.72","1","15","6.25","7.69","81.16","0.889","7","19","125","106","5.30","10","31","159","5.92"
"5","Tomas Plekanec","MTL, TOR","C","80","150.08333333333","36","275","11.58","28","195","12.56","24","136","15.00","2","19","9.52","1.62","16.51","8.92","16","130","10.96","7","64","9.86","2","13","13.33","8.33","86.03","0.944","0","19","132","69","0.00","1","30","181","0.55"
"222","Alex Iafallo","L.A","C, L","220","146.78333333333","26","257","9.19","18","181","9.05","16","132","10.81","0","22","0.00","0.85","16.18","4.97","9","128","6.57","3","50","5.66","0","8","0.00","0.00","83.33","0.833","6","16","81","151","6.90","6","20","98","5.77"
"82","Alex Chiasson","EDM, WSH","R","190","144.86666666667","35","258","11.95","33","191","14.73","30","149","16.76","6","21","22.22","2.54","18.62","12.02","21","130","13.91","12","61","16.44","6","9","40.00","20.00","85.91","1.059","2","29","113","109","1.74","9","37","140","6.04"
"84","John Tavares","NYI, TOR","C","220","142.9","34","276","10.97","31","216","12.55","28","166","14.43","3","28","9.68","2.08","17.85","10.43","21","141","12.96","10","43","18.87","2","10","16.67","10.71","83.13","0.938","4","18","135","116","2.88","7","27","178","3.78"
"18","Brian Boyle","FLA, N.J, NSH","C","181","141.86666666667","29","210","12.13","26","161","13.90","24","110","17.91","2","22","8.33","1.8","13.25","11.94","14","106","11.67","6","38","13.64","2","9","18.18","8.33","80.00","0.883","7","17","62","146","10.14","7","28","74","8.64"
"33","Daniel Winnik","MIN","L","81","141.35","19","262","6.76","17","184","8.46","12","135","8.16","1","12","7.69","0.65","13.74","4.55","9","110","7.56","3","46","6.12","1","8","11.11","8.33","91.11","0.994","5","16","76","127","6.17","6","22","92","6.12"
"52","Nicklas Backstrom","WSH","C","215","140.88333333333","40","221","15.33","34","171","16.59","25","121","17.12","0","19","0.00","1.28","16.83","7.07","14","121","10.37","2","59","3.28","0","7","0.00","0.00","84.30","0.843","7","18","112","185","5.88","11","26","140","7.28"
"204","Connor McDavid","EDM","C","216","139.36666666667","57","200","22.18","50","135","27.03","35","93","27.34","8","19","29.63","4.19","13.24","24.03","40","102","28.17","20","46","30.30","7","11","38.89","22.86","79.57","1.024","11","16","82","205","11.83","16","26","94","14.55"
"3","Matt Hendricks","MIN, WPG","C","86","136.13333333333","21","310","6.34","17","221","7.14","13","155","7.74","0","15","0.00","0.74","17.62","4.05","6","127","4.51","3","49","5.77","0","8","0.00","0.00","90.32","0.903","3","19","99","111","2.94","5","26","116","4.13"
"221","Nico Hischier","N.J","C","201","134.85","39","176","18.14","29","133","17.90","26","100","20.63","2","11","15.38","2.31","13.18","14.90","23","94","19.66","13","40","24.53","2","6","25.00","7.69","89.00","0.967","7","20","41","214","14.58","13","29","53","19.70"
"198","Lucas Wallmark","CAR","C","152","133.03333333333","26","221","10.53","24","164","12.77","21","120","14.89","1","12","7.69","1.15","15.98","6.72","9","111","7.50","3","61","4.69","0","8","0.00","4.76","90.00","0.948","6","20","131","102","4.38","8","27","158","4.82"
"31","Ryan Callahan","T.B","R","119","132.13333333333","29","213","11.98","27","158","14.59","24","114","17.39","3","19","13.64","1.7","12.4","12.06","19","94","16.81","9","47","16.07","3","12","20.00","12.50","83.33","0.958","4","10","56","152","6.67","5","19","64","7.25"
"90","Richard Panik","ARI, CHI, WSH","R","199","131.78333333333","43","191","18.38","38","134","22.09","33","96","25.58","3","15","16.67","1.84","11.84","13.45","17","99","14.66","6","46","11.54","1","6","14.29","9.09","84.38","0.935","4","10","67","161","5.63","5","15","85","5.56"
"202","Kyle Connor","WPG","L","222","131.78333333333","34","226","13.08","27","185","12.74","23","141","14.02","3","19","13.64","2.17","17.39","11.09","14","123","10.22","8","60","11.76","3","13","18.75","13.04","86.52","0.996","9","17","53","167","14.52","11","25","67","14.10"
"78","Antoine Roussel","DAL, VAN","L","171","130.53333333333","34","181","15.81","33","142","18.86","29","105","21.64","0","16","0.00","2.11","12.83","14.13","15","99","13.16","7","46","13.21","0","9","0.00","0.00","84.76","0.848","4","21","32","193","11.11","5","31","38","11.63"
"154","Filip Forsberg","NSH","L","186","129.61666666667","45","153","22.73","39","115","25.32","29","91","24.17","3","8","27.27","2.68","10.04","21.04","25","73","25.51","10","25","28.57","3","3","50.00","10.34","91.21","1.016","10","12","49","194","16.95","13","18","52","20.00"
"66","Max Pacioretty","MTL, VGK","L","194","127.13333333333","37","228","13.96","28","168","14.29","21","122","14.69","2","18","10.00","2.05","15.78","11.52","18","113","13.74","9","51","15.00","2","8","20.00","9.52","85.25","0.948","8","10","60","148","11.76","17","19","73","18.89"
"16","Ryan Getzlaf","ANA","C","183","127.13333333333","30","243","10.99","29","185","13.55","18","142","11.25","3","17","15.00","1.21","17.58","6.43","10","139","6.71","5","59","7.81","1","6","14.29","16.67","88.03","1.047","7","13","201","103","3.37","10","19","232","4.13"
"120","Ondrej Palat","T.B","L","181","126.21666666667","32","191","14.35","26","137","15.95","20","102","16.39","2","14","12.50","1.59","11.83","11.84","18","92","16.36","8","37","17.78","2","7","22.22","10.00","86.27","0.963","5","17","38","158","11.63","6","19","52","10.34"
"127","Logan Shaw","ANA, MTL, WPG","C, R","106","122.1","24","214","10.08","22","166","11.70","17","117","12.69","1","16","5.88","1.09","15.13","6.72","13","122","9.63","2","51","3.77","0","8","0.00","5.88","86.32","0.922","7","20","58","120","10.77","9","29","80","10.11"
"11","Eric Staal","MIN","C","224","120.55","22","202","9.82","18","151","10.65","15","109","12.10","3","12","20.00","0.92","11.78","7.22","10","95","9.52","5","36","12.20","2","7","22.22","20.00","88.99","1.090","3","18","55","188","5.17","7","25","73","8.75"
"195","Christian Dvorak","ARI","C, L","163","118.45","24","166","12.63","21","129","14.00","18","98","15.52","0","16","0.00","1.41","11.49","10.94","11","81","11.96","5","36","12.20","0","10","0.00","0.00","83.67","0.837","4","12","73","153","5.19","9","22","83","9.78"
"23","Joe Pavelski","DAL, S.J","C","217","118.01666666667","34","205","14.23","32","165","16.24","24","116","17.14","1","11","8.33","1.7","15.37","9.98","14","121","10.37","9","54","14.29","0","5","0.00","4.17","90.52","0.947","5","8","168","90","2.89","8","10","192","4.00"
"191","Nick Schmaltz","ARI, CHI","C","183","117.93333333333","42","215","16.34","35","165","17.50","32","115","21.77","3","12","20.00","2.77","15.64","15.05","17","112","13.18","8","59","11.94","1","6","14.29","9.38","89.57","0.989","4","17","71","169","5.33","5","21","96","4.95"
"35","Benoit Pouliot","BUF","L","74","117.15","35","211","14.23","30","169","15.08","24","111","17.78","3","16","15.79","1.57","14.8","9.58","16","103","13.45","9","42","17.65","3","9","25.00","12.50","85.59","0.981","3","13","91","80","3.19","3","21","110","2.65"
"176","Ryan Hartman","CHI, MIN, NSH, PHI","L, R","222","115.13333333333","24","138","14.81","21","102","17.07","19","73","20.65","1","13","7.14","1.1","9.31","10.58","9","62","12.68","5","27","15.63","0","7","0.00","5.26","82.19","0.875","4","12","35","152","10.26","7","23","42","14.29"
"6","Rick Nash","BOS, NYR","L, R","71","111.66666666667","30","184","14.02","28","147","16.00","18","102","15.00","0","16","0.00","2.17","13.92","13.47","18","106","14.52","10","41","19.61","0","7","0.00","0.00","84.31","0.843","3","15","81","92","3.57","3","23","89","3.26"
"136","Gabriel Landeskog","COL","L","196","111.63333333333","15","195","7.14","13","151","7.93","10","113","8.13","1","9","10.00","0.75","13.02","5.43","6","90","6.25","3","36","7.69","1","4","20.00","10.00","92.04","1.020","2","21","74","145","2.63","3","27","91","3.19"
"205","Jack Eichel","BUF","C","205","111.35","38","137","21.71","34","98","25.76","27","75","26.47","3","9","25.00","2.03","8.4","19.46","15","67","18.29","12","27","30.77","3","5","37.50","11.11","88.00","0.991","8","11","46","172","14.81","10","16","63","13.70"
"201","Oskar Lindblom","PHI","L","134","109.25","31","165","15.82","27","129","17.31","22","96","18.64","0","18","0.00","1.26","12.88","8.93","13","85","13.27","5","40","11.11","0","8","0.00","0.00","81.25","0.813","3","12","27","152","10.00","3","19","33","8.33"
"206","Timo Meier","S.J","R","221","108.93333333333","43","143","23.12","36","112","24.32","28","85","24.78","2","8","20.00","2.6","9.49","21.49","21","66","24.14","10","28","26.32","1","3","25.00","7.14","90.59","0.977","2","10","30","172","6.25","5","20","36","12.20"
"71","Steven Stamkos","T.B","C","216","108.13333333333","27","206","11.59","24","144","14.29","20","110","15.38","2","11","15.38","1.28","12.2","9.49","14","91","13.33","5","30","14.29","2","6","25.00","10.00","90.00","1.000","3","6","221","65","1.34","5","10","264","1.86"
"199","Christoffer Ehn","DET","C","111","108.08333333333","26","151","14.69","24","120","16.67","21","77","21.43","1","11","8.33","1.8","10.65","14.45","12","85","12.37","9","37","19.57","1","6","14.29","4.76","85.71","0.905","4","13","46","113","8.00","5","19","53","8.62"
"72","Josh Bailey","NYI","C, R","219","104.08333333333","24","175","12.06","21","125","14.38","17","93","15.45","2","11","15.38","1.18","11.23","9.52","10","110","8.33","6","33","15.38","2","4","33.33","11.76","88.17","0.999","2","13","51","134","3.77","3","17","65","4.41"
"219","Drake Caggiula","CHI, EDM","C, L","155","104.01666666667","27","165","14.06","23","123","15.75","19","104","15.45","3","24","11.11","2.36","12.59","15.79","18","82","18.00","12","41","22.64","3","10","23.08","15.79","76.92","0.927","5","14","18","162","21.74","7","20","22","24.14"
"37","T.J. Oshie","WSH","R","205","103.96666666667","32","145","18.08","28","117","19.31","20","83","19.42","0","14","0.00","1.43","10.75","11.72","10","80","11.11","4","35","10.26","0","5","0.00","0.00","83.13","0.831","5","15","70","132","6.67","6","22","82","6.82"
"86","Brayden Schenn","STL","C","217","103.71666666667","28","150","15.73","26","117","18.18","21","82","20.39","0","6","0.00","1.35","10.57","11.34","11","77","12.50","5","29","14.71","0","3","0.00","0.00","92.68","0.927","5","17","49","181","9.26","5","22","59","7.81"
"9","Matt Stajan","CGY","C","68","103.33333333333","27","187","12.62","23","149","13.37","20","112","15.15","0","17","0.00","1.07","14.43","6.93","11","119","8.46","3","50","5.66","0","5","0.00","0.00","84.82","0.848","6","9","67","93","8.22","13","19","77","14.44"
"25","Andrew Ladd","NYI","L","101","100.93333333333","28","189","12.90","25","143","14.88","22","108","16.92","3","22","12.00","1.83","12.32","12.93","17","96","15.04","7","32","17.95","0","8","0.00","13.64","79.63","0.933","5","13","57","109","8.06","7","18","75","8.54"
