"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"106","Austin Watson","NSH","L","165","287.96666666667","64","451","12.43","57","335","14.54","52","238","17.93","9","42","17.65","3.68","27.65","11.74","25","206","10.82","16","82","16.33","5","20","20.00","17.31","82.35","0.997","6","33","190","252","3.06","10","55","232","4.13"
"39","Justin Abdelkader","DET","L","190","286.45","84","446","15.85","75","333","18.38","59","226","20.70","1","38","2.56","4.73","30.71","13.35","40","238","14.39","21","99","17.50","1","18","5.26","1.69","83.19","0.849","13","28","119","308","9.85","23","49","146","13.61"
"96","Nic Dowd","L.A, VAN, WSH","C","169","286.1","65","399","14.01","54","285","15.93","45","198","18.52","3","28","9.68","2.47","25.33","8.87","22","197","10.05","10","84","10.64","3","14","17.65","6.67","85.86","0.925","10","33","197","217","4.83","13","51","246","5.02"
"166","Cedric Paquette","T.B","C","189","285.88333333333","51","445","10.28","50","314","13.74","39","233","14.34","4","24","14.29","3.06","25.97","10.55","31","215","12.60","15","86","14.85","3","11","21.43","10.26","89.70","1.000","4","20","164","256","2.38","10","33","201","4.74"
"69","Zack Smith","CHI, OTT","C, L","188","285.13333333333","87","454","16.08","76","349","17.88","67","252","21.00","7","29","19.44","4.91","28.77","14.58","41","213","16.14","23","90","20.35","5","9","35.71","10.45","88.49","0.989","4","27","189","218","2.07","11","40","229","4.58"
"214","Derek Ryan","CAR, CGY","C","222","284.31666666667","63","419","13.07","53","328","13.91","43","223","16.17","5","27","15.63","3.78","30.17","11.14","33","230","12.55","19","95","16.67","3","9","25.00","11.63","87.89","0.995","6","34","134","314","4.29","18","51","160","10.11"
"123","Sean Kuraly","BOS","C","208","283","68","446","13.23","60","342","14.93","51","261","16.35","2","33","5.71","3.69","30.1","10.92","28","224","11.11","11","98","10.09","2","12","14.29","3.92","87.36","0.913","5","30","184","233","2.65","10","45","232","4.13"
"130","Boone Jenner","CBJ","C","216","282.98333333333","95","464","16.99","90","347","20.59","73","263","21.73","1","34","2.86","4.87","29.29","14.26","44","228","16.18","22","78","22.00","1","10","9.09","1.37","87.07","0.884","7","27","235","198","2.89","10","38","312","3.11"
"137","Ryan Strome","EDM, NYR","C","224","280.86666666667","74","504","12.80","67","399","14.38","54","277","16.31","3","34","8.11","3.77","37.05","9.24","37","265","12.25","22","113","16.30","2","10","16.67","5.56","87.73","0.933","9","40","203","239","4.25","10","58","264","3.65"
"19","Loui Eriksson","VAN","L","173","270.88333333333","64","369","14.78","60","270","18.18","52","188","21.67","3","25","10.71","3.55","23.87","12.95","32","194","14.16","21","74","22.11","3","10","23.08","5.77","86.70","0.925","9","28","105","319","7.89","12","43","136","8.11"
