"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"432","Matthew Tkachuk","CGY","L","60","834.66666666667","13.911111111111","0.72","1.15","0.72","0.43","1.87","74.29","8.19","8.77","0.8","13.44","11.43","8.05","4.38","0.58","1.51","1.51","0.65","0.58","0.07","0","1.22","4.24","2.3","7.48","4.96","1.01","0","0.22","0.00"
"397","Sebastian Aho","CAR","C, R","59","795.31666666667","13.479943502825","1.51","1.06","0.68","0.38","2.57","69.39","8","18.87","0.85","13.96","10.94","9.43","4.38","0.38","1.28","0.75","0.38","0.38","0","0","0.45","3.17","3.55","2.72","3.62","0.68","21.58","24.74","3.51"
"304","Miles Wood","N.J","L","59","698.95","11.846610169492","0.69","0.86","0.6","0.26","1.55","75.00","9.7","7.08","0.75","15.62","12.62","7.98","4.38","0.43","0.69","3.26","1.46","1.46","0","0","1.97","1.63","1.03","7.55","6.87","1.89","0","0","-"
"364","Brendan Lemieux","NYR","L","48","523.53333333333","10.906944444444","0.34","0.69","0.34","0.34","1.03","56.25","6.76","5.08","0.67","13.29","10.2","6.99","4.36","0.34","0.69","6.07","1.6","1.03","0.34","0.23","1.95","2.87","1.26","14.33","6.42","4.7","1.49","2.75","4.03"
"484","Kirby Dach","CHI","C","54","653.08333333333","12.094135802469","0.73","0.73","0.18","0.55","1.47","57.14","7.17","10.26","0.69","11.3","9.55","6.71","4.32","0.37","0.46","0.92","0.46","0.46","0","0","0.83","1.19","2.76","2.3","13.69","1.75","4.59","8.64","3.19"
"277","Brock McGinn","CAR","L","59","626.03333333333","10.610734463277","0.38","0.67","0.58","0.1","1.05","57.89","6.8","5.63","0.66","12.27","9.58","7.86","4.31","0.19","0.77","0.96","0.48","0.48","0","0","0.67","0.58","1.44","6.71","5.94","1.63","0.96","1.44","3.83"
"405","Roope Hintz","DAL","L","51","598.03333333333","11.72614379085","1.2","0.1","0.1","0","1.3","56.52","7.83","15.38","0.79","12.94","10.43","8.93","4.31","0.5","1.3","0.8","0.4","0.4","0","0","1.5","2.81","1.81","5.82","4.31","2.41","12.34","12.24","5.04"
"40","Paul Stastny","VGK","C","61","784.1","12.854098360656","0.69","0.69","0.38","0.31","1.38","56.25","6.2","11.11","0.82","9.41","8.11","7.35","4.29","0.23","0.99","0.92","0.46","0.46","0","0","0.77","0.84","2.37","3.98","2.83","1.76","28.54","25.18","4.07"
"260","Filip Forsberg","NSH","L","53","686.21666666667","12.94748427673","0.96","1.31","0.79","0.52","2.27","76.47","9.36","10.28","0.82","17.05","13.03","9.36","4.28","0.79","0.87","0.87","0.44","0.44","0","0","0.7","2.54","3.41","5.77","4.2","0.87","0","0.09","0.00"
"194","Bryan Rust","PIT","R","44","646.8","14.7","1.21","1.3","0.65","0.65","2.5","62.79","8.07","14.94","0.89","13.54","10.95","8.72","4.27","0.46","1.02","0.74","0.37","0.37","0","0","0.65","2.41","1.02","4.36","5.66","2.5","0.19","0.37","3.09"
"88","Evgenii Dadonov","FLA","R","60","773.08333333333","12.884722222222","0.85","1.01","0.78","0.23","1.86","51.06","8.15","10.48","0.77","12.42","10.09","8.07","4.27","0.7","0.93","0.47","0.23","0.23","0","0","0.62","1.79","1.71","1.63","6.52","1.55","0","0","-"
"143","Zack Kassian","EDM","R","52","774.75","14.899038461538","1.08","1.08","0.46","0.62","2.17","62.22","6.04","17.95","0.71","10.53","8.29","8.05","4.26","0.62","0.62","2.32","0.93","0.77","0.15","0","0.54","2.63","1.7","10.61","3.87","0.46","0","0.15","0.00"
"169","Tyler Toffoli","L.A, VAN","C, R","59","747.08333333333","12.662429378531","0.96","1.04","0.64","0.4","2.01","83.33","10.92","8.82","0.96","19.27","14.54","10.36","4.26","0.64","2.41","0.8","0.4","0.4","0","0","0.48","2.01","1.85","2.41","3.61","0.96","0.32","0.56","2.92"
"55","Patric Hornqvist","PIT","R","41","508.95","12.413414634146","1.3","0.94","0.35","0.59","2.24","86.36","9.55","13.58","0.87","13.09","11.67","8.96","4.24","0.24","0.94","1.77","0.71","0.59","0.12","0","0.94","0.47","0.83","9.78","8.72","3.54","0.24","0.35","4.72"
